#stokes,freq,ind,real,imag,eta
9,882.332,0,347.8335756,-2.28422731,1
9,882.332,1,28.56163427,-6.773126,1
9,882.332,2,3.97427982,2.18947171,1
9,882.332,3,17.2369543,-27.47702734,1
9,882.332,4,-374.8050928,17.32532605,1
9,882.332,5,10.72918357,-10.58181794,1
9,882.332,6,13.35623799,0.5088157,1
9,882.332,7,17.00582288,25.02802907,1
9,882.332,8,5.89546503,-22.13836647,1
9,882.332,9,-11.3863188,21.50884498,1
9,882.332,10,-31.76142647,53.5273716,1
9,882.332,11,-0.30114563,-1.96585651,1
9,882.332,12,51.46091899,-37.30413476,1
9,882.332,13,6.44431019,20.99785783,1
9,882.332,14,-8.07219468,6.46803514,1
9,882.332,15,3.77768265,1.21975847,1
9,882.332,16,-0.40820427,-6.57164076,1
9,882.332,17,-30.08528769,-18.97343949,1
9,882.332,18,3.65431737,-4.46600892,1
9,882.332,19,-6.23001752,11.79608458,1
9,882.332,20,0.26619722,-0.59386538,1
9,882.332,21,-9.82245197,15.77974928,1
9,882.332,22,0.44458757,1.66171962,1
9,882.332,23,-2.4937117,4.17634219,1
9,882.332,24,2.20976784,40.3204047,1
9,882.332,25,-10.04475451,-12.18502967,1
9,882.332,26,13.18828821,-0.95798513,1
9,882.332,27,5.05363508,-0.34052478,1
9,882.332,28,3.67451528,3.8239256,1
9,882.332,29,-2.93027728,-1.73238634,1
9,882.332,30,-7.0417956,7.19783625,1
9,882.332,31,-3.23078209,2.98821058,1
9,882.332,32,-0.13334627,-0.18639551,1
9,882.332,33,-1.58877691,3.53461853,1
9,882.332,34,-0.41033128,0.7647939,1
9,882.332,35,6.17160758,-11.51183028,1
9,882.332,36,1.14974412,-1.83898246,1
9,882.332,37,-0.37530261,0.1344318,1
9,882.332,38,-0.07309482,-0.82026943,1
9,882.332,39,-0.50786364,0.76779218,1
9,882.332,40,20.5714504,-20.27060908,1
9,882.332,41,0.55044505,2.34815422,1
9,882.332,42,-8.24758607,-3.47471558,1
9,882.332,43,-0.66768502,0.967661,1
9,882.332,44,0.38177845,4.92354162,1
9,882.332,45,-1.56566917,-0.27704512,1
9,882.332,46,-0.57596546,-3.20254531,1
9,882.332,47,-1.79938579,0.07882094,1
9,882.332,48,5.29211176,-2.2072233,1
9,882.332,49,10.54684327,2.44606178,1
9,882.332,50,0.67515486,-1.08359405,1
9,882.332,51,-0.3922542,0.01453106,1
9,882.332,52,0.21186849,-0.24673957,1
9,882.332,53,1.2229632,-2.33698345,1
9,882.332,54,-2.00712198,4.52104384,1
9,882.332,55,0.03020604,-0.01413807,1
9,882.332,56,-0.05046217,0.46247552,1
9,882.332,57,-0.01384012,0.18204679,1
9,882.332,58,0.2238114,-0.15094163,1
9,882.332,59,0.00871948,-0.07646218,1
9,882.332,60,-23.44218432,6.04034585,1
9,882.332,61,5.54363222,1.99549748,1
9,882.332,62,-12.74568772,5.36153967,1
9,882.332,63,-0.69209226,0.30323211,1
9,882.332,64,-10.36562783,-1.82587766,1
9,882.332,65,-0.99288116,-1.41445797,1
12,882.332,0,347.7344015,-2.27783246,1
12,882.332,1,28.89573081,-3.70718842,1
12,882.332,2,0.74606951,5.75087342,1
12,882.332,3,10.48514198,-27.96356084,1
12,882.332,4,-371.1218062,18.9240704,1
12,882.332,5,24.30092556,13.69649286,1
12,882.332,6,14.95444659,-2.38868807,1
12,882.332,7,19.53142738,24.34964658,1
12,882.332,8,2.63639445,-18.91393017,1
12,882.332,9,-3.77136335,15.18542524,1
12,882.332,10,-19.91258124,54.93726719,1
12,882.332,11,-1.3101241,-2.92421777,1
12,882.332,12,50.39301495,-38.18479044,1
12,882.332,13,-11.75047704,-26.59204767,1
12,882.332,14,-3.70778799,7.00381276,1
12,882.332,15,3.15040728,0.91404948,1
12,882.332,16,-5.1500154,-2.10165404,1
12,882.332,17,-30.64901841,-21.09555233,1
12,882.332,18,0.96097859,-2.76113124,1
12,882.332,19,-2.13606918,8.59908216,1
12,882.332,20,-0.06635318,-0.04174643,1
12,882.332,21,-7.26483509,14.04950627,1
12,882.332,22,0.66098048,1.26786999,1
12,882.332,23,-1.66338856,4.12053021,1
12,882.332,24,0.21311412,38.73999943,1
12,882.332,25,-2.00553488,18.33070833,1
12,882.332,26,8.74040202,-2.10800376,1
12,882.332,27,5.77068407,2.97865711,1
12,882.332,28,5.41272441,5.67099697,1
12,882.332,29,-2.52592373,-2.37065738,1
12,882.332,30,-2.98898048,2.78600604,1
12,882.332,31,-5.72212272,6.61661536,1
12,882.332,32,-0.47798154,-0.33077338,1
12,882.332,33,-0.75666261,1.88520101,1
12,882.332,34,-0.09856895,0.36246646,1
12,882.332,35,2.17175717,-8.03430589,1
12,882.332,36,0.86322056,-1.1067713,1
12,882.332,37,-0.31631961,0.7844282,1
12,882.332,38,0.57521472,-0.55482639,1
12,882.332,39,-0.42404123,0.67845257,1
12,882.332,40,21.09779975,-18.29052971,1
12,882.332,41,-0.80860104,-5.34875556,1
12,882.332,42,-6.67603966,-2.86296242,1
12,882.332,43,-1.26330013,-1.67124937,1
12,882.332,44,1.53545552,3.67932034,1
12,882.332,45,-1.45147875,0.98968153,1
12,882.332,46,-1.94182702,-4.83559015,1
12,882.332,47,-1.85478487,0.71415731,1
12,882.332,48,3.61598916,0.29135073,1
12,882.332,49,12.60271115,-0.32163386,1
12,882.332,50,0.48408797,-0.44789635,1
12,882.332,51,0.11595196,0.27029324,1
12,882.332,52,0.10522077,-0.29658812,1
12,882.332,53,0.40206893,-1.62959101,1
12,882.332,54,-0.60509081,3.21203696,1
12,882.332,55,-0.00123415,0.00390625,1
12,882.332,56,0.13170201,0.07273427,1
12,882.332,57,-0.00691959,-0.07403683,1
12,882.332,58,-0.17269004,-0.06724718,1
12,882.332,59,-0.00635654,-0.04537149,1
12,882.332,60,-22.64789671,4.42039141,1
12,882.332,61,4.52633021,-0.86461358,1
12,882.332,62,-12.78383772,4.61833288,1
12,882.332,63,-1.26660294,-0.28344528,1
12,882.332,64,-11.59671533,-0.90898494,1
12,882.332,65,-1.27175825,-1.18293041,1
9,935.832,0,324.6264886,-2.56055017,1
9,935.832,1,25.65315233,-3.75704959,1
9,935.832,2,2.40562812,6.81472807,1
9,935.832,3,0.91945338,-8.20260904,1
9,935.832,4,-318.8260999,29.52486117,1
9,935.832,5,5.11979797,-4.74646917,1
9,935.832,6,11.34473464,0.80715617,1
9,935.832,7,20.15312062,22.20287347,1
9,935.832,8,3.56713367,-11.33683323,1
9,935.832,9,-6.88268499,7.17402622,1
9,935.832,10,-1.80327371,18.35582446,1
9,935.832,11,0.9348689,0.32787208,1
9,935.832,12,31.16991221,-49.55022691,1
9,935.832,13,10.32151186,13.42932355,1
9,935.832,14,-8.54207221,4.23963306,1
9,935.832,15,2.57635837,0.40535625,1
9,935.832,16,2.47484368,-4.7168797,1
9,935.832,17,-22.17633802,-15.7732986,1
9,935.832,18,1.43247581,-1.3796456,1
9,935.832,19,-4.44327493,3.76983539,1
9,935.832,20,-0.22330819,-0.37213025,1
9,935.832,21,0.88475985,7.21501241,1
9,935.832,22,-0.0596183,-0.31763669,1
9,935.832,23,0.0402218,1.60711178,1
9,935.832,24,-5.03862686,40.20010872,1
9,935.832,25,-7.58626972,-7.59877071,1
9,935.832,26,4.24003962,0.58907089,1
9,935.832,27,4.00339275,1.38586221,1
9,935.832,28,3.55584743,4.86275,1
9,935.832,29,-0.59722353,-1.75729169,1
9,935.832,30,-8.72248285,3.82884403,1
9,935.832,31,-7.21711327,-0.71196715,1
9,935.832,32,0.33747159,-0.93777212,1
9,935.832,33,-1.15541265,0.62556205,1
9,935.832,34,-0.15304586,-0.06843269,1
9,935.832,35,3.50921162,-3.6181104,1
9,935.832,36,0.23015629,-0.84292986,1
9,935.832,37,0.0341331,0.50682618,1
9,935.832,38,-0.00358671,0.25454889,1
9,935.832,39,0.10409486,0.42062852,1
9,935.832,40,17.7636986,-14.05969447,1
9,935.832,41,0.74966912,0.88979814,1
9,935.832,42,-4.47031549,-4.74290656,1
9,935.832,43,1.87789,1.39503979,1
9,935.832,44,-3.36473921,4.59880321,1
9,935.832,45,-1.94740761,0.65267493,1
9,935.832,46,-1.65512543,-4.01140306,1
9,935.832,47,-0.66824024,1.12360639,1
9,935.832,48,1.71088262,-0.2247125,1
9,935.832,49,9.20657241,5.74140741,1
9,935.832,50,0.32372452,0.57684167,1
9,935.832,51,0.15521248,0.37174893,1
9,935.832,52,0.14005392,0.40352023,1
9,935.832,53,0.76005922,-0.7459321,1
9,935.832,54,-0.90161577,1.40532406,1
9,935.832,55,-0.22240092,0.27198506,1
9,935.832,56,0.02042515,0.39335518,1
9,935.832,57,0.11825184,-0.16814904,1
9,935.832,58,-0.18362132,-0.61593531,1
9,935.832,59,-0.03796088,0.14289866,1
9,935.832,60,-10.7780376,-1.15607183,1
9,935.832,61,2.16009628,1.96834649,1
9,935.832,62,-6.29207474,1.2087634,1
9,935.832,63,-2.65342943,-1.16870434,1
9,935.832,64,-5.88841346,-3.83278085,1
9,935.832,65,-0.29095846,-1.36328072,1
12,935.832,0,324.5503773,-2.51217786,1
12,935.832,1,24.63000429,-3.74704889,1
12,935.832,2,-1.12754136,11.96248597,1
12,935.832,3,-1.63053204,-34.09123705,1
12,935.832,4,-316.8410103,29.45142944,1
12,935.832,5,26.57402836,12.44919815,1
12,935.832,6,15.43697147,-0.44908103,1
12,935.832,7,22.30462929,22.15675232,1
12,935.832,8,0.117716,-6.43974253,1
12,935.832,9,-0.01509953,-4.00391833,1
12,935.832,10,2.70362893,65.40776175,1
12,935.832,11,-0.86687861,-3.2653068,1
12,935.832,12,29.78987656,-50.60341128,1
12,935.832,13,-13.83049755,-21.03629405,1
12,935.832,14,-8.44052678,3.27281728,1
12,935.832,15,2.31234123,2.06394816,1
12,935.832,16,-1.10461605,-4.09355515,1
12,935.832,17,-25.28918065,-14.67848285,1
12,935.832,18,-0.34129209,1.71299402,1
12,935.832,19,0.97857151,-2.94076521,1
12,935.832,20,0.0542981,-0.12571515,1
12,935.832,21,-0.3700334,16.14134107,1
12,935.832,22,0.57547105,1.67473353,1
12,935.832,23,0.13159971,4.81187928,1
12,935.832,24,-5.40604967,40.7395597,1
12,935.832,25,1.33188554,11.76090007,1
12,935.832,26,4.22133563,2.02234659,1
12,935.832,27,4.79077888,0.82259455,1
12,935.832,28,4.36776371,2.54886877,1
12,935.832,29,0.00678942,-0.27162524,1
12,935.832,30,-7.89737175,1.0332555,1
12,935.832,31,-5.0008966,0.74055258,1
12,935.832,32,-0.61583998,0.34454456,1
12,935.832,33,-0.30397776,-0.44101563,1
12,935.832,34,-0.29324837,-0.13885362,1
12,935.832,35,-0.34321845,2.45763637,1
12,935.832,36,0.19647562,-1.62739208,1
12,935.832,37,-0.03098838,0.9014237,1
12,935.832,38,-0.10071778,-0.71311882,1
12,935.832,39,-0.03529875,0.74626227,1
12,935.832,40,18.3009243,-13.68781224,1
12,935.832,41,-2.42452251,-2.33564739,1
12,935.832,42,-3.71458172,-5.12778643,1
12,935.832,43,0.81515256,0.295086,1
12,935.832,44,-2.54509689,3.25981568,1
12,935.832,45,-0.36572864,1.47178044,1
