#stokes,freq,ind,real,imag
7,2052,0,-0.02641530, 0.18194160
7,2052,1, 1.42409270,-0.42795880
7,2052,2, 23.13734380, 2.43017480
7,2052,3, 20.22488780,-111.64982900
7,2052,4, 2.52250970,-0.70591750
7,2052,5,-3.91635420,-0.81888480
7,2052,6, 4.56630640, 2.21224260
7,2052,7, 3.42375610, 0.67695500
7,2052,8, 26.87207430, 2.41918470
7,2052,9,-58.04513850,-6.69692740
7,2052,10,-32.78177290, 201.99185760
7,2052,11,-6.54048020,-16.41215570
7,2052,12,-1.14176720, 0.51593390
7,2052,13, 8.74491810, 2.66231300
7,2052,14,-3.16583380, 0.26361850
7,2052,15,-1.54930560, 0.87771220
7,2052,16,-0.80870330,-1.90862560
7,2052,17,-1.44277480,-0.77637200
7,2052,18, 16.36278500, 3.79116360
7,2052,19,-27.06029370,-1.45660200
7,2052,20,-4.01989720,-1.56922740
7,2052,21,-21.19251860, 36.99987940
7,2052,22, 5.99656460, 8.56162920
7,2052,23,-3.54658070, 13.58071610
7,2052,24, 4.61693100,-1.35503150
7,2052,25,-4.98782070,-1.42284090
7,2052,26, 0.74889870,-1.57856510
7,2052,27,-2.81890060,-1.80992540
7,2052,28,-0.50132170, 0.72994960
7,2052,29, 0.80112050,-0.46636640
7,2052,30, 2.53160660,-0.38447490
7,2052,31, 1.81161640, 3.93602340
7,2052,32, 2.99902660,-1.97970680
7,2052,33,-7.07953530,-5.37083630
7,2052,34, 2.72571460, 1.30229010
7,2052,35, 26.36688330, 4.80025250
7,2052,36, 3.43665830,-2.26411380
7,2052,37,-0.82092260, 0.19343620
7,2052,38, 0.71234300,-0.15311460
7,2052,39,-1.40374180, 1.20600810
7,2052,40,-6.96279600, 1.45157270
7,2052,41,-1.20136330,-1.28997070
7,2052,42,-3.00204150, 2.34528200
7,2052,43, 1.66662790, 5.57720620
7,2052,44,-2.50687820, 2.14965560
7,2052,45, 0.79387230, 2.18795930
7,2052,46, 0.78798760,-0.49072950
7,2052,47, 0.97935610,-0.19965860
7,2052,48,-3.18162270, 1.76731010
7,2052,49,-2.78456560,-3.90505810
7,2052,50, 0.42049150, 1.27371310
7,2052,51,-4.05979530, 3.70172000
7,2052,52,-0.06129990,-0.13342000
7,2052,53, 5.75909070, 0.71332960
7,2052,54,-12.65052470,-0.56453610
7,2052,55,-0.37401000, 1.97567020
7,2052,56,-1.03548380, 0.91131140
7,2052,57, 0.15550970, 0.21994530
7,2052,58, 0.22741990,-1.13737270
7,2052,59,-1.29252950,-0.54923450
7,2052,60, 5.50294130,-0.56661080
7,2052,61, 3.16120000, 1.46914150
7,2052,62, 6.17339800,-2.52376600
7,2052,63, 0.61990340,-4.11814860
7,2052,64, 2.39044210,-2.71727950
7,2052,65, 2.41380280,-0.79027920
8,2052,0, 302.12582530,-0.03371960
8,2052,1,-0.64896010,-33.52139710
8,2052,2,-20.74561520, 59.54357510
8,2052,3,-495.54289970,-118.32427010
8,2052,4,-168.19075080,-10.27401340
8,2052,5, 7.90665230, 0.11392820
8,2052,6,-1.58828950,-4.04729780
8,2052,7,-0.20263990, 35.40109690
8,2052,8,-17.71687560, 43.71102940
8,2052,9, 40.32539210,-112.37328880
8,2052,10, 892.34142960, 215.13417330
8,2052,11,-50.72344780,-13.27419560
8,2052,12,-232.08102940, 22.47566750
8,2052,13, 1.70302670,-0.73329660
8,2052,14,-51.11348100, 0.81297460
8,2052,15, 1.02297970, 2.66625110
8,2052,16, 1.68353220, 4.05495830
8,2052,17, 2.44435990, 4.93014640
8,2052,18,-10.60634430, 30.76405960
